"genre","duration","loudness"
"classic pop and rock",208.32608,-10.55
"classic pop and rock",187.42812,-4.926
"classic pop and rock",249.44281,-13.551
"classic pop and rock",283.48036,-5.412
"classic pop and rock",174.75873,-12.422
"classic pop and rock",259.70893,-16.199
"classic pop and rock",173.89669,-8.284
"classic pop and rock",231.94077,-4.228
"classic pop and rock",122.93179,-8.284
"classic pop and rock",215.90159,-11.246
"classic pop and rock",193.82812,-6.894
"classic pop and rock",181.75955,-8.562
"classic pop and rock",245.31546,-9.659
"classic pop and rock",245.44608,-5.48
"classic pop and rock",169.66485,-3.968
"classic pop and rock",187.21914,-6.435
"classic pop and rock",175.90812,-16.091
"classic pop and rock",238.602,-11.57
"classic pop and rock",238.15791,-7.187
"classic pop and rock",224.44363,-5.046
"metal",263.31383,-5.114
"metal",271.82975,-3.05
"metal",225.09669,-6.846
"metal",304.14322,-5.495
"metal",294.89587,-9.241
"metal",279.30077,-12.204
"metal",234.37016,-4.847
"metal",97.48853,-9.388
"metal",268.64281,-7.492
"metal",179.61751,-5.2
"metal",474.72281,-7.414
"metal",208.1171,-7.691
"metal",323.86567,-4.845
"metal",264.98567,-21.416
"metal",235.67628,-6.44
"metal",191.7122,-4.738
"metal",191.00689,-5.804
"metal",215.01342,-4.272
"metal",236.7473,-4.824
"metal",212.32281,-4.58
"punk",172.72118,-8.034
"punk",197.17179,-3.687
"punk",319.68608,-10.117
"punk",166.63465,-3.946
"punk",179.53914,-5.529
"punk",119.7971,-8.07
"punk",146.18077,-14.224
"punk",83.1473,-5.101
"punk",186.17424,-11.563
"punk",303.25506,-8.155
"punk",141.47873,-7.541
"punk",177.6322,-4.965
"punk",233.27302,-19.949
"punk",135.36608,-6.636
"punk",769.88036,-21.849
"punk",240.1171,-9.125
"punk",309.65506,-6.076
"punk",102.21669,-9.661
"punk",222.01424,-8.465
"punk",132.04853,-7.21
"soul and reggae",270.41914,-15.408
"soul and reggae",252.60363,-9.042
"soul and reggae",339.51302,-6.457
"soul and reggae",230.76526,-6.024
"soul and reggae",268.59057,-16.585
"soul and reggae",230.03383,-5.341
"soul and reggae",201.97832,-8.16
"soul and reggae",338.85995,-6.037
"soul and reggae",278.30812,-4.786
"soul and reggae",204.2771,-4.403
"soul and reggae",145.34485,-6.513
"soul and reggae",269.58322,-6.858
"soul and reggae",232.30649,-15.79
"soul and reggae",274.85995,-4.589
"soul and reggae",449.72363,-11.908
"soul and reggae",231.07873,-3.853
"soul and reggae",447.32036,-6.131
"soul and reggae",202.65751,-6.071
"soul and reggae",558.96771,-10.672
"soul and reggae",258.19383,-4.195
